ProductId,Summary_Text,Sentiment,Predictions
B006MONQMC,"Light and flavorful; helps me drink more water I need to drink more water during the day.  The Vitamin Squeeze gives regular water a nice light flavor of fruit punch, helping me accomplish the goal of being well hydrated.  The vitamins are a nice added benefit.  One small downside is that the Vitamin Squeeze does need to be refrigerated after opening.  Otherwise, it's a great product.",1,1
B006MONQMC,"Wasn't bad I am a really big fan of these squeeze drinks for water and I have to say that this one isn't that bad at all. The taste is a very mild fruit punch unless you squeeze a lot into your glass, and overall the flavor really isn't that bad. Sweet, yet mellow but it definitely isn't your normal fruit punch flavor. For it does remind me of a more childlike or even a more watered down and less sugar added HiC pouches I use to drink in middle school. Yet for people you want something different then the normal water this adds something plus I do enjoy the fact that it does hold a little bit of a vitamin energy to help get you through the day. I was squeezing this into my water bottle and taking it on the go when I go out to work out and had found that it helps keep me hydrated and even a little energized.<br /><br />I have to recommend these type of drinks for people who are tired of just regular water, would like to get some extra vitamin's when a water adder but I do wish the taste could be more improved and that there are clear directions on exactly how much a squeeze is really needed. I usually do it to taste but this packaging does make it hard to understand.",0,1
B006MONQMC,"Great vitamin/mineral additive I'm not a water drinker and have to force myself to drink it. I constantly look for ways to supplement plain water to make it more palatable so decided to try this product.<br /><br />If you are looking for a healthy additive, this does give you vitamins and minerals that water lacks. However, that said there are a lot of additives and as you can see by the ingredient listings 'water' is the first ingredient:<br /><br />Water, citric acid, vitamin C, natural flavor, sucralose, natural caffeine, sodium benzoate, potassium sorbate, magnesium lactate, vitamin B3, vitamin B6, calcium lactate, potassium phosphate, vitamin A, palmitate, vitamin E, vitamin B6, vitamin B12<br /><br />The directions say to do a one squeeze into 8 ounces of water. I didn't really care for it in plain water. Seemed a bit metallic to me, not overwhelming, but nothing to make me want to gulp water all day! I drink a lot of tea, sparkling soda and Crystal Light type products so I ended up using it in pitchers of Crystal Light and sparkling water. It was very good used that way and of course you feel good thinking you are getting vitamins with your Aspartame based drinks. I tried the fruit punch supplement in raspberry tea, but lets just say--not so good.<br /><br />Finally, I can't say I noticed any extra energy descending upon me, but I like the fact that this provides some vitamin intake I might not otherwise get during my liquid imbibing.",1,-1
B006MONQMC,"How much is a ""squeeze""? This vitamin/caffeine additive to plain water is not overly delicious.  It has a rather strong cough syrup flavor, even at a ""small squeeze"" portion, and it is VERY RED.  There is not a single direction about how big a squeeze should be, though I suppose at 24 portions, one could divide and assume it is .5 oz.  I was hoping for a bit of a morning ""pick up,"" but the caffeine level is not enough for any sort of boost.  I'd rather take my vitamins as a pill and can't recommend this water-flavorer.",-1,1
B006MONQMC,"So-so water additive I'm all for products that increase my water intake throughout the day.  While I enjoy plain water, an extra added flavor boost is welcome at times. I found Vitamin Squeeze to be just OK in my opinion.<br />Pros:  Easy to use and not very messy. Flip the cap, squeeze into water, shake and you're done.  It has a good quantity of vitamin C and B vitamins, which help boost my energy level, 40 mg of caffeine and some electrolyte replenishment with added potassium.  It's a good product for use after a workout.<br />Cons:  You should refrigerate it after opening according to the package.  That makes it hard to store in the car or gym bag.  I'm also not a fan of the sucralose, and wish they had just used a little natural sweetener.  The sucralose gives me a headache, and I could do without that in a product.  I'm also not always looking for caffeine after a workout, and wish they'd left this out as well.  With the B vitamins and electrolytes, I think it was unnecessary.  Flavor is fair.  You can increase or decrease the strength of the flavor with how much you put into your water.  One squeeze is just faintly sweet and fruity to me.  This brings up my other beef - I wish the directions and serving size were not 'one squeeze'.  If I'm feeling feisty, a squeeze can be two tablespoons.  You can also squeeze out half a teaspoon if you're gentle with it.  I wish this was more standardized, especially with 40 mg caffeine in a serving.  If you look at the fine print, a serving is 15 ml.  Not everyone is going to know this is three teaspoons.  They could have put three teaspoons right out there so it was clear.<br />Will I get this again after I run out?  Probably not.",0,0
B006MONQMC,"Good flavor and Not too sweet I drink a lot of bottled water, all day, everyday and the fruit punch flavor was a pleasant change to my usual plain water.  I do like that it has added vitamins, but it still doesn't make this a healthier product.  I'd prefer the coloring be removed and no artificial sweeteners added, and instead use natural or no color with fruit juice &lt; would be a nice change >.<br />If you are just looking for an occasional flavor boost and don't mind the dye, you might enjoy this.  The bottle was easy to use, once I cut the inner seal off.  The boost of vitamins didn't have much impact for me, but the flavor is good.",1,0
B006MONQMC,"Like a faster & easier Crystal Light, with caffeine & vitamins. These days, it seems like there's a caffeinated version of everything. Caffeine gum. Caffeine water. Caffeine workout pills and powders. Caffeine shots (5-hour energy). Super-caffeinated 'energy' soda. I guess it makes sense that now they're making a caffeinated version of <a href=""http://www.amazon.com/gp/product/B007AXVG8K"">Mio Energy Liquid Water Enhancer, 3 - Count</a>.<br /><br />As a 'water enhancer', this stuff is decent. It's not much different from the generic fruit flavor of other low/no-calorie 'water enhancers' like Crystal Light or Mio. It's got some good points, like 120% vitamin C and 40% of multiple B-vitamins, as well as some zinc and chromium. It's got a moderate caffeine zip (40mg per serving... one squeeze = one serving, two squeezes will nicely flavor a bottle of water), but it's not excessive as some energy sodas or workout powders can be.<br /><br />Aside from the fact that artificial sweeteners and caffeine are becoming WAY too common in American food/beverages (I normally try to avoid these kinds of things, but am reviewing this for the Vine program), there's only one downside to this product -- the container leaks slightly. I know it's not just my particular sample, because my coworker saw it and warned me before I'd even taken off the safety seal. I guess there's just something quirky about the design.<br /><br />All in all, this stuff tastes decent, packs a nice little B&C Vitamins punch and will give you a nice zip thanks to its caffeine content.",1,1
B006MONQMC,"Good flavor, not sure about benefits The fruit punch flavor is very artificual, but I kinda liked it. It was sweet and fruity. It reminds me of Hawaiian Punch a lot. The flavor stayed with me for a long time and I didn't mind because it was good.<br /><br />I can't comment as to whether or not it gave me more energy. I didn't feel ""energized"" but at the same time, I was able to stay awake and alert after a bad night of storms and not sleeping.<br /><br />What I like about it isn't the energy aspect of it, but the vitamins. One serving (1/2oz) provides 120% vitamin c, 40% of b6, b5, b3, and b12, and all with no sugar or calories. Fir someone with a limited diet due to family allergies, this is really useful.<br /><br />I would like to see if there are other flavors that aren't so full of red food coloring.<br /><br />I drank some after running and found that my energy didn't drop off and I stayed feeling good so I think I'm sold in it!",1,0
B006MONQMC,"A tasty and convenient way to get a does of energy and vitamin C. I have tried other ""flavor enhancers"" for water and founded that they tasted so artificial that they took away from the flavor of regular water instead of adding to it.  This one tastes really good and provides the added benefit of some vitamins and energy in the form of caffeine.  I enjoy it and find it very convenient.  I think that you will like it too.",1,1
B006MONQMC,"Taste is there but it stains, bad!!! During the day I wake up and drink cold coffee and sometimes use my Tassimo maker. The rest of the day I drink a lot of water. I usually drink bottled water and do not mind the `plain' taste.<br /><br />Sadly I can not read the ingredients on my bottle since it is covered with a sticker but the vitamin part seemed interesting. I have tried to add flavors to my water before but they have tasted artificial. I will say this does taste like fruit punch as it is listed. I was surprised at how flavorful it was and that it did not taste artificial like the other drinks I have tried. I found it rather refreshing and loved the flavor of it.<br /><br />The reason I would not buy it though is it is messy. I accidentally squeezed some out of the cup and it was so sticky. That was not the worse. I have cream colored counters and it leaked on them and it was less than 10 seconds of it sitting on the counter and figured a wet paper towel would wipe it up. Nope, it was already stained! I was shocked! I had to use one of those magic eraser pads to clean it off the counter. For how sticky and how easily it stains, it is not worth it to me.<br /><br />Taste wise it is there. However, if it stained that quickly, I wonder what it does to your body. I don't think I will be finishing it.<br /><br />Added after writing review: If I could give this a zero I would! I had the bottle near the computer to write the review. It has to be in the fridge after you open it. It was in the fridge with the cap down. I flipped it where the cap was on top thinking it would not leak this way taking it back to the fridge. Nope, the cap held the previous leftover squeeze and it leaked ALL over my cream rug and also my computer stand which is padded. I got rid of it. It is too messy and stains!",-1,0
B006MONQMC,"Tastes like weak Hawaiian Punch with ingredients I don't want I try to consume natural products as much as is conveniently possible. I also try to avoid food products with added chemicals as much as is conveniently possible. I exercise a lot and need to stay hydrated and be sure I get necessary electrolytes. I thought I'd try this Vitamin Squeeze Energy Drink.<br /><br />You dispense this by a ""squeeze."" How much is a squeeze? Good question. The label says a serving size is 1/2 fl oz. I have no idea how much that is when delivered as a squeeze but I guess I can get a shot glass and figure it out. A bottle of this has 24 servings and apparently it is up to you to decide how much water you need for a serving. My experience with it is that 16 ounces of water is way too much for one squeeze of this stuff... it results in a very weak tasting drink. So you can then squeeze more but then you'd be getting more of the vitamins and other stuff...<br /><br />I take a daily multi-vitamin, Vitamin D and B-complex vitamin. I don't really need vitamins in my water and I sure don't need sucralose and this has both. So for those reasons I would not purchase this product in the future.<br /><br />As for the taste, it reminded me of a weak Hawaiian Punch. It wasn't what I would characterize as a natural tasting fruit flavor even though the label mentions ""natural flavor"" but it doesn't exactly specify what that is. This also has 40mg of caffeine.<br /><br />To me, this is just a weird product. Just because you can add vitamins, caffeine and some assorted ""electrolytes"" doesn't mean you need to. I get energy drinks, I just don't get this one.",-1,0
B006MONQMC,"Like the pick-me-up Gotta say, having an instant energy boost I can just squeeze into a glass of water or my water bottle for a day at the office is really quite handy.  I feel about as energized as a glass of juice or a milder energy drink would leave me--so don't really expect this to fulfill high energy expectations.  This fills the niche of a nice, nutritious water enhancer with a bit of a pick-me-up.  No jitters here.  I like the flavor, though the recommended squeeze-to-water ratio leaves the taste a bit on the light side.  Which also begs the questions, just how much is a squeeze?  In many ways this is rather gimmicky, but if it's your thing, it certainly does all that it announces.",1,1
B006MONQMC,"Just OK I really do not want to review this because I sort of like the taste, at least at first, then there is the after taste.  I do not like to have an aftertaste when I eat or drink anything.<br />The flavor, at first, was very refreshing as long and you keep drinking it.<br />If you are one that is used to diet flavors then you will probably love this. It is a typical diet water, but they say it is natural.  I am not sure but is caffeine natural and sucralose?<br />I would rather just have plain old white sugar at least I know what to expect and it tastes a lot better than this.<br /><br />With all that said the packaging is fine, I like the squirting cap it is like the new ketchup bottles that stand upside down.  So if they could just take away the after taste on this flavored water I would give it a 4 star but for now it only deserves 3.  I am being generous.",0,0
B006MONQMC,"Really Enjoy This Water Enhancer I've tried the Mio and now the Vitamin Squeeze water enhancers.  I didn't like the taste of the Mio, but love the taste of this one, which is Fruit Punch (a flavor I normally avoid because it is so sweet).  I didn't really feel an energy rush with this drink, but I did feel pretty good, which I would assume would be the vitamins!<br /><br />One great thing about this water enhancer: no aspertame!  I'm actually allergic to aspertame, and have a really hard time finding water flavorings that don't contain it.<br /><br />Here is the list of ingredients:  Water, citric acid, vitamin C, natural flavor, sucralose, natural caffeine, sodium benzoate, potassium sorbate, magnesium lactate, vitamin B3, vitamin B6, calcium lactate, potassium phosphate, vitamin A, palmitate, vitamin E, vitamin B6, vitamin B12<br /><br />One bottle is supposed to flavor about 24 8oz glasses of water.  I actually like mine a bit lighter on the Fruit Punch flavor, so I think it is going to last longer.<br /><br />The only down-side to this water enhancer is that the bottle is pretty big, so there really is no sneaking this one into my purse to flavor water on-the-go.<br /><br />In all, this one is a keeper and I WILL be getting more!  I can't wait to try the Acai, Grape Pomegranate!",1,1
B006MONQMC,"Vitamin squeeze... Gives you zero calories and some vitamins and minerals, I can live with it as a vitamin and mineral drink.<br /><br />Why does the drink have to be sweetened with artificial sweetener? I can live with a drink that has a small amount of natural sugar, that's what I usually do if I want to cut down on sugar, just use less instead of using the far worse artificial sweetener.<br /><br />But what this drink fails most from is the flavor. It reminds me and my kids of cherry flavored cough syrup, not a flavor that people want to be reminded of. The other flavors might be ok, if I want multivitamins, I'd probably take a multivitamin pill and just drink water.",0,-1
